Tablitsa masok podseti (CIDR) / Subnet mask table
Stolbtsy: Maska podseti | Maska v dvoichnoy sisteme | Prefiks | Kolichestvo adresov | Obratnaya maska

+-----------------+-------------------------------------+---------+---------------------+-----------------+
| Maska podseti   | Maska v dvoichnoy sisteme           | Prefiks | Kolichestvo adresov | Obratnaya maska |
+-----------------+-------------------------------------+---------+---------------------+-----------------+
| 255.255.255.255 | 11111111.11111111.11111111.11111111 | /32     | 1                   | 0.0.0.0         |
| 255.255.255.254 | 11111111.11111111.11111111.11111110 | /31     | 2                   | 0.0.0.1         |
| 255.255.255.252 | 11111111.11111111.11111111.11111100 | /30     | 4                   | 0.0.0.3         |
| 255.255.255.248 | 11111111.11111111.11111111.11111000 | /29     | 8                   | 0.0.0.7         |
| 255.255.255.240 | 11111111.11111111.11111111.11110000 | /28     | 16                  | 0.0.0.15        |
| 255.255.255.224 | 11111111.11111111.11111111.11100000 | /27     | 32                  | 0.0.0.31        |
| 255.255.255.192 | 11111111.11111111.11111111.11000000 | /26     | 64                  | 0.0.0.63        |
| 255.255.255.128 | 11111111.11111111.11111111.10000000 | /25     | 128                 | 0.0.0.127       |
| 255.255.255.0   | 11111111.11111111.11111111.00000000 | /24     | 256                 | 0.0.0.255       |
| 255.255.254.0   | 11111111.11111111.11111110.00000000 | /23     | 512                 | 0.0.1.255       |
| 255.255.252.0   | 11111111.11111111.11111100.00000000 | /22     | 1024                | 0.0.3.255       |
| 255.255.248.0   | 11111111.11111111.11111000.00000000 | /21     | 2048                | 0.0.7.255       |
| 255.255.240.0   | 11111111.11111111.11110000.00000000 | /20     | 4096                | 0.0.15.255      |
| 255.255.224.0   | 11111111.11111111.11100000.00000000 | /19     | 8192                | 0.0.31.255      |
| 255.255.192.0   | 11111111.11111111.11000000.00000000 | /18     | 16384               | 0.0.63.255      |
| 255.255.128.0   | 11111111.11111111.10000000.00000000 | /17     | 32768               | 0.0.127.255     |
| 255.255.0.0     | 11111111.11111111.00000000.00000000 | /16     | 65536               | 0.0.255.255     |
| 255.254.0.0     | 11111111.11111110.00000000.00000000 | /15     | 131072              | 0.1.255.255     |
| 255.252.0.0     | 11111111.11111100.00000000.00000000 | /14     | 262144              | 0.3.255.255     |
| 255.248.0.0     | 11111111.11111000.00000000.00000000 | /13     | 524288              | 0.7.255.255     |
| 255.240.0.0     | 11111111.11110000.00000000.00000000 | /12     | 1048576             | 0.15.255.255    |
| 255.224.0.0     | 11111111.11100000.00000000.00000000 | /11     | 2097152             | 0.31.255.255    |
| 255.192.0.0     | 11111111.11000000.00000000.00000000 | /10     | 4194304             | 0.63.255.255    |
| 255.128.0.0     | 11111111.10000000.00000000.00000000 | /9      | 8388608             | 0.127.255.255   |
| 255.0.0.0       | 11111111.00000000.00000000.00000000 | /8      | 16777216            | 0.255.255.255   |
| 254.0.0.0       | 11111110.00000000.00000000.00000000 | /7      | 33554432            | 1.255.255.255   |
| 252.0.0.0       | 11111100.00000000.00000000.00000000 | /6      | 67108864            | 3.255.255.255   |
| 248.0.0.0       | 11111000.00000000.00000000.00000000 | /5      | 134217728           | 7.255.255.255   |
| 240.0.0.0       | 11110000.00000000.00000000.00000000 | /4      | 268435456           | 15.255.255.255  |
| 224.0.0.0       | 11100000.00000000.00000000.00000000 | /3      | 536870912           | 31.255.255.255  |
| 192.0.0.0       | 11000000.00000000.00000000.00000000 | /2      | 1073741824          | 63.255.255.255  |
| 128.0.0.0       | 10000000.00000000.00000000.00000000 | /1      | 2147483648          | 127.255.255.255 |
| 0.0.0.0         | 00000000.00000000.00000000.00000000 | /0      | 4294967296          | 255.255.255.255 |
+-----------------+-------------------------------------+---------+---------------------+-----------------+
